"","SiteName","SiteType","Independent","FunctionalDispersion","FunctionalRichness","FunctionalEveness","FunctionalDivergence","Species.Abundance","Species.Richness","Shannon.Weiner","Simpson","type","area","logrichness"
"1","Conference","Basin","CN-T1-P13",30.0175305816816,3.51391954651171,0.68881013702592,0.741282689514931,33,13,2.09213668144092,0.195592286501377,"Black mangrove",0.3142,1.11394335230684
"2","Conference","Basin","CN-T1-P13",30.0175305816816,3.51391954651171,0.68881013702592,0.741282689514931,33,13,2.09213668144092,0.195592286501377,"Red mangrove",0.44184375,1.11394335230684
"3","Conference","Basin","CN-T1-P13",30.0175305816816,3.51391954651171,0.68881013702592,0.741282689514931,33,13,2.09213668144092,0.195592286501377,"White mangrove",1.4139,1.11394335230684
"4","Conference","Basin","CN-T2-P1",40.082069234069,15.5506199165865,0.792317013835607,0.664850365296734,21,6,1.73168723681958,0.188208616780045,"Black mangrove",0,0.778151250383644
"5","Conference","Basin","CN-T2-P1",40.082069234069,15.5506199165865,0.792317013835607,0.664850365296734,21,6,1.73168723681958,0.188208616780045,"Red mangrove",0,0.778151250383644
"6","Conference","Basin","CN-T2-P1",40.082069234069,15.5506199165865,0.792317013835607,0.664850365296734,21,6,1.73168723681958,0.188208616780045,"White mangrove",1.4139,0.778151250383644
"7","Conference","Basin","CN-T2-P3",22.8312448419436,1.24164411155818,0.822711368055134,0.687281446092786,18,8,1.98120755073562,0.154320987654321,"Black mangrove",0,0.903089986991944
"8","Conference","Basin","CN-T2-P3",22.8312448419436,1.24164411155818,0.822711368055134,0.687281446092786,18,8,1.98120755073562,0.154320987654321,"Red mangrove",0.39275,0.903089986991944
"9","Conference","Basin","CN-T2-P3",22.8312448419436,1.24164411155818,0.822711368055134,0.687281446092786,18,8,1.98120755073562,0.154320987654321,"White mangrove",0,0.903089986991944
"10","Levera","Basin","LV-T1-P13",35.2623057874327,15.7564524159548,0.805894699204544,0.638965459044472,19,9,2.04134526983995,0.146814404432133,"Black mangrove",0.3142,0.954242509439325
"11","Levera","Basin","LV-T1-P13",35.2623057874327,15.7564524159548,0.805894699204544,0.638965459044472,19,9,2.04134526983995,0.146814404432133,"Red mangrove",1.1193375,0.954242509439325
"12","Levera","Basin","LV-T1-P13",35.2623057874327,15.7564524159548,0.805894699204544,0.638965459044472,19,9,2.04134526983995,0.146814404432133,"White mangrove",4.2417,0.954242509439325
"13","Levera","Basin","LV-T23-P13",37.2274987131382,23.1288760127192,0.780235902783305,0.720520094262055,40,14,2.49717056928282,0.09375,"Black mangrove",1.02115,1.14612803567824
"14","Levera","Basin","LV-T23-P13",37.2274987131382,23.1288760127192,0.780235902783305,0.720520094262055,40,14,2.49717056928282,0.09375,"Red mangrove",0.274925,1.14612803567824
"15","Levera","Basin","LV-T23-P13",37.2274987131382,23.1288760127192,0.780235902783305,0.720520094262055,40,14,2.49717056928282,0.09375,"White mangrove",1.6691875,1.14612803567824
"16","Levera","Basin","LV-T456-P13",33.7553849598221,29.3033863708857,0.739152836957341,0.740205356521766,45,17,2.55626699786105,0.0962962962962963,"Black mangrove",0.576033333333333,1.23044892137827
"17","Levera","Basin","LV-T456-P13",33.7553849598221,29.3033863708857,0.739152836957341,0.740205356521766,45,17,2.55626699786105,0.0962962962962963,"Red mangrove",2.125759375,1.23044892137827
"18","Levera","Basin","LV-T456-P13",33.7553849598221,29.3033863708857,0.739152836957341,0.740205356521766,45,17,2.55626699786105,0.0962962962962963,"White mangrove",1.0997,1.23044892137827
"19","Levera","Basin","LV-T6-P3",19.1344505197242,0.266787774481841,0.837878746085192,0.735405972642876,8,4,1.32088834314932,0.28125,"Black mangrove",0.510575,0.602059991327962
"20","Levera","Basin","LV-T6-P3",19.1344505197242,0.266787774481841,0.837878746085192,0.735405972642876,8,4,1.32088834314932,0.28125,"Red mangrove",0,0.602059991327962
"21","Levera","Basin","LV-T6-P3",19.1344505197242,0.266787774481841,0.837878746085192,0.735405972642876,8,4,1.32088834314932,0.28125,"White mangrove",1.4139,0.602059991327962
"22","Levera","Basin","LV-T7-P1",26.6599003957889,16.3408953022304,0.67281005804827,0.675601194709712,21,10,2.10829421891894,0.142857142857143,"Black mangrove",0,1
"23","Levera","Basin","LV-T7-P1",26.6599003957889,16.3408953022304,0.67281005804827,0.675601194709712,21,10,2.10829421891894,0.142857142857143,"Red mangrove",2.8278,1
"24","Levera","Basin","LV-T7-P1",26.6599003957889,16.3408953022304,0.67281005804827,0.675601194709712,21,10,2.10829421891894,0.142857142857143,"White mangrove",0.70695,1
"25","Levera","Basin","LV-T7-P3",25.4774435725871,0.71775489878596,0.929919530888842,0.738861930303013,15,7,1.89892678933633,0.155555555555556,"Black mangrove",0,0.845098040014257
"26","Levera","Basin","LV-T7-P3",25.4774435725871,0.71775489878596,0.929919530888842,0.738861930303013,15,7,1.89892678933633,0.155555555555556,"Red mangrove",0.39275,0.845098040014257
"27","Levera","Basin","LV-T7-P3",25.4774435725871,0.71775489878596,0.929919530888842,0.738861930303013,15,7,1.89892678933633,0.155555555555556,"White mangrove",0,0.845098040014257
"28","Mt. Hartman","Fringe","MH-T12-P1",30.4027602539102,27.9424136647581,0.636117722333714,0.672751489273422,152,30,3.04002859275057,0.0626731301939058,"Black mangrove",0,1.47712125471966
"29","Mt. Hartman","Fringe","MH-T12-P1",30.4027602539102,27.9424136647581,0.636117722333714,0.672751489273422,152,30,3.04002859275057,0.0626731301939058,"Red mangrove",0.180665,1.47712125471966
"30","Mt. Hartman","Fringe","MH-T12-P1",30.4027602539102,27.9424136647581,0.636117722333714,0.672751489273422,152,30,3.04002859275057,0.0626731301939058,"White mangrove",0.4909375,1.47712125471966
"31","Mt. Hartman","Fringe","MH-T12-P3",23.4352994746688,13.0946873524932,0.775129224239517,0.642031087499996,32,22,3.01616741045712,0.052734375,"Black mangrove",0.265947857142857,1.34242268082221
"32","Mt. Hartman","Fringe","MH-T12-P3",23.4352994746688,13.0946873524932,0.775129224239517,0.642031087499996,32,22,3.01616741045712,0.052734375,"Red mangrove",0,1.34242268082221
"33","Mt. Hartman","Fringe","MH-T12-P3",23.4352994746688,13.0946873524932,0.775129224239517,0.642031087499996,32,22,3.01616741045712,0.052734375,"White mangrove",0.39275,1.34242268082221
"34","Westerhall","Fringe","WH-T1-P13",22.225732722582,5.80183742096799,0.687486040676734,0.589980867236872,37,12,2.1203211726619,0.181884587289993,"Black mangrove",0,1.07918124604762
"35","Westerhall","Fringe","WH-T1-P13",22.225732722582,5.80183742096799,0.687486040676734,0.589980867236872,37,12,2.1203211726619,0.181884587289993,"Red mangrove",0.627418125,1.07918124604762
"36","Westerhall","Fringe","WH-T1-P13",22.225732722582,5.80183742096799,0.687486040676734,0.589980867236872,37,12,2.1203211726619,0.181884587289993,"White mangrove",1.49834125,1.07918124604762
"37","Westerhall","Fringe","WH-T2-P13",20.4104462282578,1.64673118576957,0.901053942271206,0.677703786604431,17,9,2.09929279993392,0.134948096885813,"Black mangrove",0.196375,0.954242509439325
"38","Westerhall","Fringe","WH-T2-P13",20.4104462282578,1.64673118576957,0.901053942271206,0.677703786604431,17,9,2.09929279993392,0.134948096885813,"Red mangrove",0.5867685,0.954242509439325
"39","Westerhall","Fringe","WH-T2-P13",20.4104462282578,1.64673118576957,0.901053942271206,0.677703786604431,17,9,2.09929279993392,0.134948096885813,"White mangrove",0.6480375,0.954242509439325
"40","Westerhall","Fringe","WH-T3-P13",18.9660376390269,4.83335387276561,0.584105210428438,0.675522823131038,29,12,2.08704049149853,0.186682520808561,"Black mangrove",0,1.07918124604762
"41","Westerhall","Fringe","WH-T3-P13",18.9660376390269,4.83335387276561,0.584105210428438,0.675522823131038,29,12,2.08704049149853,0.186682520808561,"Red mangrove",1.05387916666667,1.07918124604762
"42","Westerhall","Fringe","WH-T3-P13",18.9660376390269,4.83335387276561,0.584105210428438,0.675522823131038,29,12,2.08704049149853,0.186682520808561,"White mangrove",0.28474375,1.07918124604762
"43","Westerhall","Fringe","WH-T4-P13",22.9097195915372,5.54780857796867,0.78555100046458,0.773658948109787,21,12,2.30633627050749,0.120181405895692,"Black mangrove",0,1.07918124604762
"44","Westerhall","Fringe","WH-T4-P13",22.9097195915372,5.54780857796867,0.78555100046458,0.773658948109787,21,12,2.30633627050749,0.120181405895692,"Red mangrove",0.755651,1.07918124604762
"45","Westerhall","Fringe","WH-T4-P13",22.9097195915372,5.54780857796867,0.78555100046458,0.773658948109787,21,12,2.30633627050749,0.120181405895692,"White mangrove",0.40256875,1.07918124604762
